conv_id,emotion,kor_emotion,context,kor_context,factor
hit:0_conv:1,sentimental,감상적인,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",가장 친한 친구와 불꽃놀이에 갔던 기억이 난다. 많은 사람들이 있었지만 세상에서 우리와 같은 느낌이었습니다.,불꽃놀이에 갔던 기억이
hit:1_conv:2,afraid,두려워하는,i used to scare for darkness,나는 어둠을 두려워하곤 했다,어둠을
hit:1_conv:3,proud,자랑스러운,I showed a guy how to run a good bead in welding class and he caught on quick.,나는 용접 수업에서 한 남자에게 좋은 비드를 구사하는 방법을 보여주었고 그는 빠르게 따라했습니다.,좋은 비드를 구사하는 방법을 보여주었고 그는 빠르게 따라했습니다.
hit:2_conv:5,afraid,두려워하는,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,제가 최근에 했던 면접은 제가 준비가 안 된 것 같아서 많이 불안했습니다.,면접은 제가 준비가 안 된 것 같아서
hit:4_conv:8,angry,화난,I once lost my job and got mad.,나는 한때 일자리를 잃고 화가 났다,일자리를 잃고
hit:5_conv:10,sad,슬픈,"One year during christmas, i did not get a single gift. It was a rough day for me.",1년 동안 크리스마스 동안 나는 단 한 건의 선물도 받지 못했습니다. 저에게는 힘든 하루였습니다.,단 한 건의 선물도 받지 못했습니다.
hit:6_conv:13,afraid,두려워하는,I was home alone. I heard a loud noise come from the kitchen.,나는 집에 혼자 있었다. 부엌에서 큰 소리가 났어요.,부엌에서 큰 소리가 났어요.
hit:7_conv:14,grateful,고마워하는,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,나는 공원에 가서 벤치에 앉았다. 나는 내 지갑이 느끼는 것을 알아차리지 못했다. 뒤에서 한 남자가 지갑을 돌려주었다.,한 남자가 지갑을 돌려주었다.
hit:7_conv:15,sad,슬픈,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.,나는 최근 일주일 반 만에 3개의 다른 직업에 대해 3개의 거절 편지를 받았습니다. 그것은 고통스러운 경험이었습니다.,3개의 거절 편지를 받았습니다.
hit:9_conv:19,embarrassed,당황스러운,"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me",한 번은 유치원에 다닐 때 칠판에 글을 써야 했습니다. 일어나보니 교실앞에서 바지가 내려와서 당황스러웠다,교실앞에서 바지가 내려와서
hit:11_conv:22,afraid,두려워하는,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,작년에 우리 가족이 집에 있는 동안 나무가 집에 떨어졌습니다. 나무는 내 딸에게서 불과 몇 피트 떨어진 곳에서 천장을 뚫었습니다. 그 경험은 끔찍했습니다.,나무는 내 딸에게서 불과 몇 피트 떨어진 곳에서 천장을 뚫었습니다.
hit:11_conv:23,excited,흥분한,"Last week, I was watching the world cup, and watched croatia win from russia",지난주에 월드컵을 보다가 크로아티아가 러시아에 이긴 것을 봤습니다.,크로아티아가 러시아에 이긴 것을
hit:12_conv:24,angry,화난,I have someone always asking me questions about how to use mobile.,모바일 사용 방법에 대해 항상 질문하는 사람이 있습니다.,모바일 사용 방법에 대해 항상 질문하는 사람이
hit:12_conv:25,angry,화난,"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.","나는 주말 내내 엔진의 실수를 고치느라 트럭을 수리하느라 보냈다. 부품비로 200달러 이상을 썼음에도 불구하고, 그것은 실수를 고치는 데 아무런 도움이 되지 않았다.","부품비로 200달러 이상을 썼음에도 불구하고, 그것은 실수를 고치는 데 아무런 도움이 되지 않았다."
hit:13_conv:27,proud,자랑스러운,I felt proud when I had accomplished a dream that I wanted to do for a long time.,오랫동안 하고 싶었던 꿈을 이뤄냈을 때 자랑스러웠다.,오랫동안 하고 싶었던 꿈을 이뤄냈을 때
hit:14_conv:28,sentimental,감상적인,When I spend time with my father outside by the fire when we are camping.,캠핑할 때 불 옆에서 아버지와 시간을 보낼 때.,캠핑할 때
hit:14_conv:29,joyful,즐거운,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,새 집으로 이사했을 때 너무 기뻤습니다. 내 여자 친구와 나는 잠시 동안 저축을 했고 우리는 지난 달에 마침내 열쇠를 얻었습니다. 이제 마침내 인생 계획을 계속 진행할 수 있습니다.,새 집으로 이사했을 때
hit:15_conv:31,embarrassed,당황스러운,After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,남편이 바람을 피우고 있다는 사실을 알게 된 지 4주 만에 남편에게도 똑같이 했습니다. 결혼 전뿐 아니라 결혼 후에도 성관계를 위해 그녀에게 연락했다는 문자를 발견했습니다. 설상가상으로 나는 그의 가까운 가족 친구와 잤다.,남편이 바람을 피우고 있다는 사실을 알게 된 지 4주 만에 남편에게도 똑같이 했습니다.
hit:16_conv:32,surprised,놀란,"when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!",제가 어렸을 때 부모님이 직장에서 새 차로 저를 데리러 와주셔서 정말 놀랐고 제 차를 갖게 되어 너무 기뻤습니다!,부모님이 직장에서 새 차로 저를 데리러 와주셔서
hit:17_conv:34,confident,확신하는,"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.","작년에 나는 학술지에 기사를 실었습니다. 오랜만에 이런 일을 할 수 있었고, 나 자신에 대해 기분이 좋아졌습니다.",학술지에 기사를 실었습니다.
hit:18_conv:36,embarrassed,당황스러운,I broke a statuette offered by grandmother to my sister.,할머니께서 언니에게 주신 조각상을 깨뜨렸습니다.,조각상을 깨뜨렸습니다.
hit:19_conv:39,embarrassed,당황스러운,"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.","내가 친구의 마음을 상하게 할 수도 있는 상황이 있었는데, 나는 친구의 냉장고에서 먹었고 그 날은 더 이상 음식이 남지 않았습니다. 그는 음식도 없이 잠자리에 들어야 했다. 굶주린.",나는 친구의 냉장고에서 먹었고 그 날은 더 이상 음식이 남지 않았습니다.
hit:20_conv:40,afraid,두려워하는,"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",나는 Biloxi에서 휴가 중이었습니다. 발코니에서 놀다가 칩을 떨어뜨렸는데 발코니는 갈매기 떼로 가득 찼습니다.,발코니는 갈매기 떼로 가득 찼습니다.
hit:20_conv:41,angry,화난,"My mom took away my game system, and would not give it back ever again.",우리 엄마는 내 게임 시스템을 빼앗았고 다시는 그것을 돌려주지 않을 것입니다.,우리 엄마는 내 게임 시스템을 빼앗았고 다시는 그것을 돌려주지 않을 것입니다.
hit:21_conv:42,disappointed,실망한,One of my friend didn't keep this promise he made to me.,내 친구 중 한 명이 나에게 한 이 약속을 지키지 않았습니다.,내 친구 중 한 명이 나에게 한 이 약속을 지키지 않았습니다.
hit:21_conv:43,trusting,신뢰하는,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,직장 동료에게 유혹을 받은 적도 있습니다. 나는 아내에게 헌신했고 바람을 피우지 않았습니다. 좋은 결정이었습니다.,아내에게 헌신했고 바람을 피우지 않았습니다.
