conv_id,emotion,kor_emotion,context,kor_context,factor
hit:3_conv:7,joyful,즐거운,I am very happy to have been first over 300 students during this years at my enginering school,공과대학에서 올해 300명이 넘는 학생들이 처음으로 입학하게 되어 매우 기쁩니다.,올해 300명이 넘는 학생들이 처음으로 입학하게 되어
hit:30_conv:60,anticipating,기대하는,We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends.,우리는 9년 만에 고향으로 돌아갈 준비를 하고 있었습니다. 나는 가족과 친구들과 가깝게 돌아가기를 기다릴 수 없었습니다.,9년 만에 고향으로 돌아갈 준비를
hit:31_conv:63,sentimental,감상적인,When my partner went out of her way to make my day better. with gifts.,내 파트너가 내 하루를 더 좋게 만들기 위해 나섰을 때. 선물로.,내 파트너가 내 하루를 더 좋게 만들기 위해 나섰을 때.
hit:32_conv:65,proud,자랑스러운,"Finally got some yard work done , Love the smell of fresh cut grass.",마침내 정원 일을 마쳤습니다. 신선한 잔디의 냄새를 좋아하십시오.,정원 일을 마쳤습니다.
hit:43_conv:86,prepared,준비된,"I remember getting prepared for my trip to peru, it was crazy!",나는 페루 여행을 준비했던 기억이 난다. 정말 미쳤어!,페루 여행을
hit:43_conv:87,trusting,신뢰하는,I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,나는 요전날 친구에게 내 직불카드를 빌리게 했다. 그녀는 일을 위해 차에 기름을 넣어야 했습니다. 그녀는 그것을 다시 가져 왔습니다.,친구에게 내 직불카드를 빌리게 했다.###그녀는 그것을 다시 가져 왔습니다.
hit:45_conv:90,excited,흥분한,I was going to see the new Marvel movie. On the way I got really pumped up.,나는 새로운 마블 영화를 보러 가려고 했다. 도중에 나는 정말로 펌핑되었다.,새로운 마블 영화를 보러
hit:45_conv:91,angry,화난,"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",이웃들이 마을을 떠나고 잡초가 너무 높아서 뱀들이 저쪽에서 살기 시작할까 봐 두렵다.,뱀들이 저쪽에서 살기 시작할까 봐
hit:71_conv:142,lonely,외로운,"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.","나이 든 엄마를 5년 동안 돌보고 있고, 그렇게 많은 시간이 그녀를 돌보는 데 쓰이기 때문에 정말 친구가 없다.",친구가 없다.
hit:72_conv:144,sad,슬픈,"My mom has arthritis in her neck, and the pain seems to be traveling down now.",엄마는 목에 관절염이 있는데 지금 통증이 내려가는 것 같다.,엄마는 목에 관절염이 있는데 지금 통증이 내려가는 것 같다.
hit:76_conv:153,surprised,놀란,I was thrown a surprise party for my 30th birthday.,나는 30번째 생일을 맞아 깜짝 파티를 열었다,깜짝 파티를
hit:90_conv:180,sad,슬픈,I lost my wallet and had to get all new cards,지갑을 잃어버렸고 새 카드를 다 받아야 했다,지갑을 잃어버렸고
hit:92_conv:184,impressed,감명받은,I was impressed by the new Tesla.,나는 새로운 Tesla에 깊은 인상을 받았습니다.,새로운 Tesla에
hit:96_conv:193,surprised,놀란,I was surprised when I was accepted into Harvard.,나는 하버드에 합격했을 때 놀랐다.,하버드에 합격했을 때
